run_role,run_id,case,variant,M,N,K,cluster_tasks,logical_waves,model_slot_utilization_pct,median_ms,tflops,nominal_peak_pct,min_round_ms,max_round_ms,round_cv_pct,rounds,calls_per_round,seed_checks_passed,seed_checks_expected,postcheck_passed,postcheck_mismatches,postcheck_evidence,seeds,source_type,per_call_samples_available,reference_scope,initial_original_throughput_ratio,initial_fenced_throughput_ratio,initial_cublas_throughput_ratio,source_results,source_results_sha256
initial,20260918T092500Z,rect128,full_early,2048,8192,4096,128,2,86.48648648648648,0.12925440162420274,1063.3212621384703,47.25872276170979,0.1284004282951355,0.13043050825595856,0.6406326079259839,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.755704102641824,0.7510579665912378,0.7161038439383451,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect128,cublas,2048,8192,4096,128,2,86.48648648648648,0.09255957384904226,1484.8702058217407,65.99423136985514,0.09128042752544085,0.09321472083528837,0.855942407945271,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0552996035961626,1.048811527753651,1.0,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect144,original,2048,9216,4096,144,2,97.29729729729729,0.10020906696716944,1542.9624018618626,68.57610674941613,0.09878314668933551,0.10277311891317367,1.575473618919981,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0,1.0017967588251555,0.9551976836050936,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect144,fenced,2048,9216,4096,144,2,97.29729729729729,0.1003891184926033,1540.195042826204,68.45311301449796,0.09946986675262451,0.10108991950750351,0.5764078762571534,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.9982064637269713,1.0,0.9534845019116349,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect144,wide,2048,9216,4096,144,2,97.29729729729729,0.10273535892367364,1505.0205136371087,66.88980060609371,0.10050282542904218,0.10379583900173506,1.4139396389049559,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.9754097130435775,0.977162289053631,0.9317090984651343,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect144,full_late,2048,9216,4096,144,2,97.29729729729729,0.13182613422473272,1172.8996193760115,52.12887197226718,0.13134314795335134,0.1322809605797132,0.2852115324743606,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.7601608554820884,0.7615266812077137,0.7261038883237573,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect144,full_early,2048,9216,4096,144,2,97.29729729729729,0.13012629499038061,1188.2212020824074,52.80983120366255,0.12997205505768458,0.1327611748377482,0.9217696820786423,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.7700908334827887,0.7714745009840203,0.7355889803082757,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,rect144,cublas,2048,9216,4096,144,2,97.29729729729729,0.09571946864326795,1615.3330649195418,71.79258066309075,0.09513813510537147,0.09590464154879252,0.3711093440764312,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0469037113090707,1.0487847447914533,1.0,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148,original,2048,9472,4096,148,2,100.0,0.10118037223815918,1570.5989851267539,69.80439933896683,0.10081386561195056,0.10540522540609042,1.8648413785795794,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,1.0,1.0011575347714867,0.9789661664238504,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148,fenced,2048,9472,4096,148,2,100.0,0.10129749203721682,1568.783064181045,69.72369174137978,0.10068117211262385,0.10375573153297106,1.1666682822685024,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.9988438035660883,1.0,0.9778342892333108,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148,wide,2048,9472,4096,148,2,100.0,0.1028804248571396,1544.645545279082,68.65091312351475,0.1021896510819594,0.10427754531304041,0.7376903398091702,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.9834754510263627,0.9846138580578293,0.9627891920632455,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148,full_late,2048,9472,4096,148,2,100.0,0.13376789301633835,1187.9815579706435,52.79918035425082,0.1327185066541036,0.13493781199057897,0.5921597417704577,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.756387575199387,0.7572631201184008,0.7404778448235757,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
initial,20260918T092500Z,aligned148,full_early,2048,9472,4096,148,2,100.0,0.13234794676303863,1200.7272786522785,53.36565682899016,0.13136576066414515,0.133926187256972,0.8105512539897727,5,150,3,3,True,0,saved per-variant post-timing record,"[0, 1, 2]",raw_results_json,True,same initial run,0.764502772523678,0.7653877110657723,0.7484223484379101,/Users/simida/csdiy/wmhpc-training-camp-x-lcpu-ai-infra-seminars/experiments/mlc_gemm_b300/tuning/runs/20260918T092500Z/artifacts/results.json,5efd34dbcbefb9814488a09b45ed731901c5cea8b0b8bb526c684d4ee002277b
