case,method,M,N,K,tasks,logical_rounds,median_ms,tflops,peak_percent,round_cv_percent
under144_k8192,custom_wide,2048,9216,8192,144,2,0.1946229334672292,1588.906506560645,70.61806695825089,5.036247593822443
under144_k8192,lt_tuned,2048,9216,8192,144,2,0.1902865067124367,1625.1159930079739,72.22737746702106,5.025603296830447
aligned148_k8192,custom_wide,2048,9472,8192,148,2,0.19168639888366062,1658.0601532240046,73.69156236551132,4.401279846898029
aligned148_k8192,lt_tuned,2048,9472,8192,148,2,0.1949736523628235,1630.1052785971283,72.4491234932057,5.877339425401239
tail152_k8192,custom_wide,2048,9728,8192,152,3,0.2605751456816991,1252.6809248903942,55.67470777290641,6.165296029472339
tail152_k8192,lt_tuned,2048,9728,8192,152,3,0.21064832071463266,1549.5851729964702,68.87045213317644,3.1022400945376623
