case,M,N,K,variant,case_status,cluster_tasks,cluster_workers,model_waves,model_task_utilization_percent,gflop,median_ms,tflops,nominal_peak_percent,rounds,calls_per_round,min_round_ms,max_round_ms,round_cv_percent,seed_checks_passed,seed_checks_recorded,seed_checks_expected,post_timing_passed,fully_verified,complete_measurement,relative_original,relative_fenced,cublas_throughput_percent
square128,4096,4096,4096,original,complete,128,74,2,86.48648648648648,137.438953472,0.0971127483745416,1415.2514038829327,62.900062394797004,5,150,0.09595093538363775,0.09813930784662564,0.8843670596472876,3,3,3,True,True,True,1.0,1.0001230209920535,95.09353741139523
square128,4096,4096,4096,fenced,complete,128,74,2,86.48648648648648,137.438953472,0.0971246952811877,1415.0773196672346,62.89232531854376,5,150,0.09618730838100116,0.09877546831965446,1.0309984159326624,3,3,3,True,True,True,0.9998769941402492,1.0,95.08184034906921
square128,4096,4096,4096,wide,complete,128,74,2,86.48648648648648,137.438953472,0.09820074796676635,1399.5713507040991,62.2031711424044,5,150,0.0967379216849804,0.09953770771622658,1.0483818982523445,3,3,3,True,True,True,0.9889206588060515,0.9890423168065602,94.0399636650749
square128,4096,4096,4096,full_late,complete,128,74,2,86.48648648648648,137.438953472,0.12840192114313442,1070.3808186700855,47.572480829781576,5,150,0.12597013493378958,0.12890816112359366,0.9787012149454447,3,3,3,True,True,True,0.7563184998321512,0.7564115428843091,71.921001558719
square128,4096,4096,4096,full_early,complete,128,74,2,86.48648648648648,137.438953472,0.12713493406772614,1081.047899854062,48.0465733268472,5,150,0.12704960028330484,0.12742549379666646,0.14020021790217085,3,3,3,True,True,True,0.7638557339622216,0.7639497042523995,72.6377438144453
square128,4096,4096,4096,cublas,complete,128,74,2,86.48648648648648,137.438953472,0.09234794770677884,1488.272959875547,66.14546488335765,5,150,0.09087680121262869,0.09266389434536298,0.7713212575967752,3,3,3,True,True,True,1.0515961728017156,1.0517255412061335,100.0
rect128,2048,8192,4096,original,complete,128,74,2,86.48648648648648,137.438953472,0.09767808159192404,1407.0603274764087,62.536014554507055,5,150,0.09611456195513407,0.10034602786103884,1.6928857737915037,3,3,3,True,True,True,1.0,0.9938519110398581,94.75981954245816
rect128,2048,8192,4096,fenced,complete,128,74,2,86.48648648648648,137.438953472,0.09707754805684089,1415.7645740241262,62.922869956627835,5,150,0.09625749463836351,0.10176533415913581,2.23368075558119,3,3,3,True,True,True,1.006186121787208,1.0,95.34601532668164
rect128,2048,8192,4096,wide,complete,128,74,2,86.48648648648648,137.438953472,0.09981738706429799,1376.9039394255817,61.19573064113697,5,150,0.09949034680922826,0.10094016060233116,0.565437495510926,3,3,3,True,True,True,0.9785678073200222,0.9725514853870878,92.72890883170427
rect128,2048,8192,4096,full_late,complete,128,74,2,86.48648648648648,137.438953472,0.12917482763528823,1063.9762869283222,47.287834974592094,5,150,0.12796864191691082,0.13101162801186245,0.8856835106945097,3,3,3,True,True,True,0.7561696297958919,0.7515206316429491,71.6544976629461
rect128,2048,8192,4096,full_early,complete,128,74,2,86.48648648648648,137.438953472,0.12925440162420274,1063.3212621384703,47.25872276170979,5,150,0.1284004282951355,0.13043050825595856,0.6406326079259839,3,3,3,True,True,True,0.755704102641824,0.7510579665912378,71.61038439383451
rect128,2048,8192,4096,cublas,complete,128,74,2,86.48648648648648,137.438953472,0.09255957384904226,1484.8702058217407,65.99423136985514,5,150,0.09128042752544085,0.09321472083528837,0.855942407945271,3,3,3,True,True,True,1.0552996035961626,1.048811527753651,100.0
rect144,2048,9216,4096,original,complete,144,74,2,97.29729729729729,154.618822656,0.10020906696716944,1542.9624018618626,68.57610674941613,5,150,0.09878314668933551,0.10277311891317367,1.575473618919981,3,3,3,True,True,True,1.0,1.0017967588251555,95.51976836050936
rect144,2048,9216,4096,fenced,complete,144,74,2,97.29729729729729,154.618822656,0.1003891184926033,1540.195042826204,68.45311301449796,5,150,0.09946986675262451,0.10108991950750351,0.5764078762571534,3,3,3,True,True,True,0.9982064637269713,1.0,95.3484501911635
rect144,2048,9216,4096,wide,complete,144,74,2,97.29729729729729,154.618822656,0.10273535892367364,1505.0205136371087,66.88980060609371,5,150,0.10050282542904218,0.10379583900173506,1.4139396389049559,3,3,3,True,True,True,0.9754097130435775,0.977162289053631,93.17090984651342
rect144,2048,9216,4096,full_late,complete,144,74,2,97.29729729729729,154.618822656,0.13182613422473272,1172.8996193760115,52.12887197226718,5,150,0.13134314795335134,0.1322809605797132,0.28521153247436054,3,3,3,True,True,True,0.7601608554820884,0.7615266812077137,72.61038883237573
rect144,2048,9216,4096,full_early,complete,144,74,2,97.29729729729729,154.618822656,0.13012629499038061,1188.2212020824074,52.80983120366255,5,150,0.12997205505768458,0.1327611748377482,0.9217696820786423,3,3,3,True,True,True,0.7700908334827887,0.7714745009840203,73.55889803082756
rect144,2048,9216,4096,cublas,complete,144,74,2,97.29729729729729,154.618822656,0.09571946864326795,1615.3330649195418,71.79258066309075,5,150,0.09513813510537147,0.09590464154879252,0.3711093440764312,3,3,3,True,True,True,1.0469037113090707,1.0487847447914533,100.0
aligned148,2048,9472,4096,original,complete,148,74,2,100.0,158.913789952,0.10118037223815918,1570.5989851267539,69.80439933896683,5,150,0.10081386561195056,0.10540522540609042,1.8648413785795794,3,3,3,True,True,True,1.0,1.0011575347714867,97.89661664238504
aligned148,2048,9472,4096,fenced,complete,148,74,2,100.0,158.913789952,0.10129749203721682,1568.783064181045,69.72369174137978,5,150,0.10068117211262385,0.10375573153297106,1.1666682822685024,3,3,3,True,True,True,0.9988438035660883,1.0,97.78342892333109
aligned148,2048,9472,4096,wide,complete,148,74,2,100.0,158.913789952,0.1028804248571396,1544.645545279082,68.65091312351475,5,150,0.1021896510819594,0.10427754531304041,0.7376903398091702,3,3,3,True,True,True,0.9834754510263627,0.9846138580578293,96.27891920632456
aligned148,2048,9472,4096,full_late,complete,148,74,2,100.0,158.913789952,0.13376789301633835,1187.9815579706435,52.79918035425082,5,150,0.1327185066541036,0.13493781199057897,0.5921597417704577,3,3,3,True,True,True,0.756387575199387,0.7572631201184008,74.04778448235757
